,Agent,BHK_Apartment,Price_in_lakhs,Per_Square_ft_price,Aprtment_Size,Status
9318,Royal Rajputana Co,2 ,30,"3,333 / sq ft",900 ,Ready to move
9319,Royal Rajputana Co,3 ,50,"3,125 / sq ft",1600 ,Ready to move
9320,Royal Rajputana Co,3 ,56,"4,444 / sq ft",1260 ,Ready to move
9321,Royal Rajputana Co,4 ,95,"2,375 / sq ft",4000 ,Ready to move
9322,Royal Rajputana Co,3 ,72.02,"4,001 / sq ft",1800 ,Ready to move
9323,Royal Rajputana Co,4 ,55,"3,928 / sq ft",1400 ,Ready to move
9324,Royal Rajputana Co,4 ,95,"3,958 / sq ft",2400 ,Ready to move
9325,Royal Rajputana Co,2 ,65,"3,611 / sq ft",1800 ,Ready to move
9326,Royal Rajputana Co,2 ,24,"3,200 / sq ft",750 ,Ready to move
9327,Royal Rajputana Co,6 ,1.79,"5,343 / sq ft",3350 ,Ready to move
9328,Royal Rajputana Co,4 ,73,"3,277 / sq ft",2227 ,Ready to move
9329,Royal Rajputana Co,2 ,95,"6,785 / sq ft",1400 ,Ready to move
9330,Royal Rajputana Co,2 ,82,"6,456 / sq ft",1270 ,Ready to move
9331,Royal Rajputana Co,5 ,90,"4,500 / sq ft",2000 ,Ready to move
9332,Royal Rajputana Co,2 ,48,"4,549 / sq ft",1055 ,Ready to move
9333,Royal Rajputana Co,3 ,90,"4,945 / sq ft",1820 ,Ready to move
9334,Royal Rajputana Co,3 ,62,"3,875 / sq ft",1600 ,Ready to move
9335,Royal Rajputana Co,2 ,65,"5,241 / sq ft",1240 ,Ready to move
9336,Ayyappa Properties,2 ,58,"5,272 / sq ft",1100 ,Under Construction
9337,HOMELAND REALTY SOLUTIONS,3 ,3.5,"9,090 / sq ft",3850 ,Ready to move
9338,yadamma nagar,2 ,48,"5,333 / sq ft",900 ,Ready to move
9339,Hyderabad properties,3 ,4,"28,571 / sq ft",1400 ,Ready to move
9340,Hyderabad properties,3 ,70,"4,666 / sq ft",1500 ,Ready to move
9341,Hyderabad properties,3 ,75,"4,687 / sq ft",1600 ,Ready to move
9342,Hyderabad properties,3 ,80,"4,848 / sq ft",1650 ,Ready to move
9343,Hyderabad properties,3 ,85,"5,000 / sq ft",1700 ,Ready to move
9344,Hyderabad properties,3 ,89.98,"5,142 / sq ft",1750 ,Ready to move
9345,Hyderabad properties,3 ,95,"5,277 / sq ft",1800 ,Ready to move
9346,Hyderabad properties,3 ,1,"5,405 / sq ft",1850 ,Ready to move
9347,Hyderabad properties,3 ,1.2,"6,000 / sq ft",2000 ,Ready to move
9348,Hyderabad properties,3 ,1.05,"5,526 / sq ft",1900 ,Ready to move
9349,Hyderabad properties,3 ,1.1,"5,641 / sq ft",1950 ,Ready to move
9350,Ayyappa Real Estates and Rentals,2 ,75,"7,500 / sq ft",1000 ,Ready to move
9351,Ayyappa Real Estates and Rentals,2 ,1.4,"10,000 / sq ft",1400 ,Ready to move
9352,Omega Real Estate,3 ,70,"5,000 / sq ft",1400 ,Ready to move
9353,Hyderabad properties,3 ,4,"28,571 / sq ft",1400 ,Ready to move
9354,Hyderabad properties,3 ,3,"13,636 / sq ft",2200 ,Ready to move
9355,Hyderabad properties,3 ,3.2,"8,648 / sq ft",3700 ,Ready to move
9356,Hyderabad properties,3 ,5,"11,111 / sq ft",4500 ,Ready to move
9357,Hyderabad properties,3 ,10,"1,42,857 / sq ft",700 ,Ready to move
9358,Hyderabad properties,3 ,5,"83,333 / sq ft",600 ,Ready to move
9359,Hyderabad properties,3 ,1.8,"12,000 / sq ft",1500 ,Ready to move
9360,3M Estate,3 ,88,"6,068 / sq ft",1450 ,Under Construction
9361,Ayyappa Real Estates and Rentals,3 ,2.2,"8,178 / sq ft",2690 ,Ready to move
9362,PROPBELLC,2 ,45.22,"3,800 / sq ft",1190 ,Under Construction
9363,PROPBELLC,2 ,45.22,"3,800 / sq ft",1190 ,Under Construction
9364,Shankar Reddy Real Estate,2 ,52,"4,160 / sq ft",1250 ,Ready to move
9365,Shankar Reddy Real Estate,2 ,52,"4,160 / sq ft",1250 ,Ready to move
9366,Shankar Reddy Real Estate,3 ,61,"4,039 / sq ft",1510 ,Ready to move
9367,Mallikarjun Goud,2 ,37.95,"3,300 / sq ft",1150 ,Under Construction
9368,Shankar Reddy Real Estate,3 ,88.32,"4,600 / sq ft",1920 ,Ready to move
9369,Shankar Reddy Real Estate,3 ,77.28,"4,600 / sq ft",1680 ,Under Construction
9370,HOMELAND REALTY SOLUTIONS,3 ,79.98,"4,999 / sq ft",1600 ,Under Construction
9371,Shankar Reddy Real Estate,3 ,71.3,"4,600 / sq ft",1550 ,Under Construction
9372,Shankar Reddy Real Estate,2 ,55.2,"4,600 / sq ft",1200 ,Under Construction
9373,HOMELAND REALTY SOLUTIONS,4 ,4.5,"12,500 / sq ft",3600 ,Ready to move
9374,Royal Rajputana Co,2 ,42,"3,414 / sq ft",1230 ,Ready to move
9375,Sai Ram rentals,2 ,32,"3,555 / sq ft",900 ,Ready to move
9376,Nityashree Real Estate,4 ,85,"7,083 / sq ft",1200 ,Ready to move
9377,satish kumar,2 ,62,"4,133 / sq ft",1500 ,Ready to move
9378,satish kumar,1 ,28,"6,021 / sq ft",465 ,Ready to move
9379,satish kumar,2 ,33.84,"3,000 / sq ft",1128 ,Under Construction
9380,Ayyappa Real Estates and Rentals,3 ,1.1,"7,096 / sq ft",1550 ,Ready to move
9381,Venu Gopal,3 ,1.3,"6,756 / sq ft",1924 ,Ready to move
9382,Kazim Co Real Estate,3 ,2,"8,333 / sq ft",2400 ,Ready to move
9383,Som,3 ,1.82,"7,990 / sq ft",2285 ,Under Construction
9384,Som,3 ,1.63,"7,290 / sq ft",2245 ,Under Construction
9385,Vamsi Kishan,2 ,35,"3,125 / sq ft",1120 ,Under Construction
9386,S Murali Krishna,3 ,1.02,"5,666 / sq ft",1800 ,Under Construction
9387,S Murali Krishna,3 ,1.02,"5,666 / sq ft",1800 ,Under Construction
9388,Nityashree Real Estate,2 ,78,"6,516 / sq ft",1197 ,Ready to move
9389,Hyderabad properties,2 ,70,"5,833 / sq ft",1200 ,Ready to move
9390,Hyderabad properties,2 ,80,"5,797 / sq ft",1380 ,Ready to move
9391,Hyderabad properties,2 ,50,"5,000 / sq ft",1000 ,Ready to move
9392,Hyderabad properties,2 ,60,"6,000 / sq ft",1000 ,Ready to move
9393,Omega Real Estate,2 ,30,"3,333 / sq ft",900 ,Ready to move
9394,Bestpropin,2 ,65.5,"5,240 / sq ft",1250 ,Under Construction
9395,Royal Rajputana Co,3 ,45,"3,103 / sq ft",1450 ,Ready to move
9396,3M Estate,3 ,50,"3,448 / sq ft",1450 ,Under Construction
9397,Sri Sai Ram Hose Rentals,2 ,8.6,696 / sq ft,1235 ,Ready to move
9398,KOSHER PROCTOR,3 ,1.43,"6,500 / sq ft",2200 ,Under Construction
9399,KOSHER PROCTOR,3 ,1.27,"6,500 / sq ft",1965 ,Under Construction
9400,KOSHER PROCTOR,3 ,1.27,"6,500 / sq ft",1965 ,Under Construction
9401,KOSHER PROCTOR,3 ,1.21,"6,500 / sq ft",1875 ,Under Construction
9402,KOSHER PROCTOR,2 ,31.68,"3,200 / sq ft",990 ,Under Construction
9403,KOSHER PROCTOR,2 ,31.04,"3,200 / sq ft",970 ,Under Construction
9404,KOSHER PROCTOR,2 ,31.04,"3,200 / sq ft",970 ,Under Construction
9405,KOSHER PROCTOR,2 ,35.69,"2,950 / sq ft",1210 ,Under Construction
9406,KOSHER PROCTOR,2 ,35.69,"2,950 / sq ft",1210 ,Under Construction
9407,KOSHER PROCTOR,2 ,35.69,"2,950 / sq ft",1210 ,Under Construction
9408,KOSHER PROCTOR,2 ,35.69,"2,950 / sq ft",1210 ,Under Construction
9409,KOSHER PROCTOR,2 ,35.72,"2,950 / sq ft",1211 ,Under Construction
9410,KOSHER PROCTOR,2 ,35.72,"2,950 / sq ft",1211 ,Under Construction
9411,KOSHER PROCTOR,2 ,67.77,"4,800 / sq ft",1412 ,Under Construction
9412,KOSHER PROCTOR,2 ,35.69,"2,950 / sq ft",1210 ,Under Construction
9413,KOSHER PROCTOR,2 ,60.5,"5,000 / sq ft",1210 ,Under Construction
9414,KOSHER PROCTOR,3 ,1.15,"6,500 / sq ft",1770 ,Under Construction
9415,KOSHER PROCTOR,3 ,1.07,"4,478 / sq ft",2389 ,Under Construction
9416,KOSHER PROCTOR,2 ,59.65,"5,000 / sq ft",1193 ,Under Construction
9417,KOSHER PROCTOR,2 ,31.2,"3,200 / sq ft",975 ,Under Construction
9418,KOSHER PROCTOR,3 ,54.05,"4,200 / sq ft",1287 ,Under Construction
9419,KOSHER PROCTOR,3 ,80,"4,608 / sq ft",1736 ,Under Construction
9420,KOSHER PROCTOR,2 ,83.35,"6,900 / sq ft",1208 ,Ready to move
9421,KOSHER PROCTOR,3 ,1.07,"4,480 / sq ft",2388 ,Under Construction
9422,KOSHER PROCTOR,3 ,80,"4,605 / sq ft",1737 ,Under Construction
9423,KOSHER PROCTOR,2 ,94.11,"6,600 / sq ft",1426 ,Ready to move
9424,KOSHER PROCTOR,2 ,31.68,"3,200 / sq ft",990 ,Under Construction
9425,KOSHER PROCTOR,3 ,78,"5,000 / sq ft",1560 ,Under Construction
9426,KOSHER PROCTOR,3 ,63.26,"4,800 / sq ft",1318 ,Under Construction
9427,KOSHER PROCTOR,2 ,53.95,"4,800 / sq ft",1124 ,Under Construction
9428,KOSHER PROCTOR,3 ,1.17,"5,800 / sq ft",2030 ,Ready to move
9429,KOSHER PROCTOR,3 ,67.28,"4,200 / sq ft",1602 ,Under Construction
9430,KOSHER PROCTOR,2 ,31.07,"3,199 / sq ft",971 ,Under Construction
9431,KOSHER PROCTOR,2 ,39.31,"3,900 / sq ft",1008 ,Under Construction
9432,KOSHER PROCTOR,2 ,31.04,"3,200 / sq ft",970 ,Under Construction
9433,KOSHER PROCTOR,2 ,31.68,"3,200 / sq ft",990 ,Under Construction
9434,KOSHER PROCTOR,2 ,31.2,"3,200 / sq ft",975 ,Under Construction
9435,KOSHER PROCTOR,3 ,1.09,"6,900 / sq ft",1592 ,Ready to move
9436,KOSHER PROCTOR,3 ,1.14,"6,600 / sq ft",1740 ,Ready to move
9437,KOSHER PROCTOR,2 ,20.79,"2,700 / sq ft",770 ,Under Construction
9438,KOSHER PROCTOR,3 ,1.18,"6,500 / sq ft",1825 ,Ready to move
9439,KOSHER PROCTOR,2 ,43.74,"4,600 / sq ft",951 ,Under Construction
9440,KOSHER PROCTOR,2 ,36.42,"3,000 / sq ft",1214 ,Under Construction
9441,KOSHER PROCTOR,2 ,36.39,"3,000 / sq ft",1213 ,Under Construction
9442,KOSHER PROCTOR,2 ,36.33,"3,000 / sq ft",1211 ,Under Construction
9443,KOSHER PROCTOR,3 ,72.5,"5,000 / sq ft",1450 ,Under Construction
9444,KOSHER PROCTOR,2 ,60.5,"5,000 / sq ft",1210 ,Under Construction
9445,KOSHER PROCTOR,2 ,59.65,"5,000 / sq ft",1193 ,Under Construction
9446,KOSHER PROCTOR,3 ,72.5,"5,000 / sq ft",1450 ,Under Construction
9447,KOSHER PROCTOR,2 ,36.36,"3,000 / sq ft",1212 ,Under Construction
9448,KOSHER PROCTOR,2 ,36.3,"3,000 / sq ft",1210 ,Under Construction
9449,KOSHER PROCTOR,2 ,63.6,"5,000 / sq ft",1272 ,Under Construction
9450,KOSHER PROCTOR,3 ,2.49,"7,000 / sq ft",3565 ,Under Construction
9451,KOSHER PROCTOR,4 ,7.78,"15,300 / sq ft",5090 ,Under Construction
9452,KOSHER PROCTOR,3 ,72.5,"5,000 / sq ft",1450 ,Under Construction
9453,KOSHER PROCTOR,2 ,40.7,"3,700 / sq ft",1100 ,Under Construction
9454,KOSHER PROCTOR,3 ,47.25,"3,500 / sq ft",1350 ,Under Construction
9455,KOSHER PROCTOR,2 ,33.88,"2,800 / sq ft",1210 ,Under Construction
9456,KOSHER PROCTOR,2 ,33.88,"2,800 / sq ft",1210 ,Under Construction
9457,KOSHER PROCTOR,2 ,31.94,"3,900 / sq ft",819 ,Under Construction
9458,KOSHER PROCTOR,4 ,3.05,"7,500 / sq ft",4069 ,Ready to move
9459,KOSHER PROCTOR,2 ,66.65,"5,100 / sq ft",1307 ,Under Construction
9460,KOSHER PROCTOR,3 ,1.33,"6,500 / sq ft",2050 ,Ready to move
9461,KOSHER PROCTOR,3 ,1.33,"6,500 / sq ft",2050 ,Ready to move
